PROVIDER NUMBER,PROVIDER NAME,ADDRESS,Phone No
1104,MEDICLINIC AIRPORT ROAD HOSPITAL(ABU DHABI),"AIRPORT ROAD, ABU DHABI - ",00971-2-4446655 / 4944820
1227,LLH HOSPITAL AL MUSAFFAH (ABU DHABI),"MUSSAFAH, ABUDHABI - ",+9712-5557711
2318,LIFECARE HOSPITAL (ABU DHABI),"Gate No: 6, Al Raha Workers Village, Near Al Madina Hypermarket,Al Wathba, Baniyas, - ",009712 -5856333
2359,BURJEEL HOSPITAL LLC  (ABU DHABI),"Near Dar Al Shifa Hospital, Al Najda Street, - ",009712 - 2222332
245,NMC SPECIALTY HOSPITAL (ABU DHABI),"NMC Specialty Hospital 7 A St, Al Qusais, Al Nahda 2, Next to Bait AL Khair Building - Dubai - ",009712-6719728(juby)
2486,SEHA EMIRATES HOSPITAL(ABU DHABI),"Flat #505, Bin Sagar Tower,  Najda Street, - ",009712 - 4438999/
2632,SEHA - MADINAT ZAYED HOSPITAL (ABU DHABI),"Beda Zayed District Western Region - Madinat Zayed City, Western Region",009712 - 8781888
2633,SEHA - DELMA HOSPITAL  M61 (ABU DHABI),"Western Region, Delma Island, Abu Dhabi - Dalma Island, Western Region",02-8070000
2636,SEHA - GHIATHY HOSPITAL (ABU DHABI),GHAITHY DISTRICT - ,009712 - 8721555
2637,SEHA - SILA HOSPITAL M62 (ABU DHABI),"Sila District , Western Region - ",009712 - 8835000
2638,SEHA - MARFA HOSPITAL M63 (ABU DHABI),"Al Marfa Hospital Building, Al Marfa, Western Region - ",009712 -  8835000
2639,SEHA - LIWA HOSPITAL M64 (ABU DHABI),Liwa District  Western Region - ,009712 - 8777175
2978,AL RUWAIS HOSPITAL (ABU DHABI),"Abu Dhabi -Ruwais Housing Complex - Dhannah, Western Region",009712 - 6020575
3161,LIFECARE HOSPITAL LLC-BR 1 (ABU DHABI),"Near Village Mall behind Adnoc petrol station, Musaffah - ",009712 - 555 7747
3730,NMC ROYAL WOMENS HOSPITAL LLC (ABU DHABI),Commercial Tower B; Al Jazira Sports and Culture Club; plot no 36; - ,009712 - 5082000
4025,MEDEOR 24X7 HOSPITAL (ABU DHABI),"Opp Empost office Abu Dhabi,Muroor Road, Madinat Zayed Area - ",02 6900600
4087,NMC ROYAL HOSPITAL LLC (ABU DHABI),"Khalifa City - Plot No. P-1, SE-4, 16th Street, Zone 135 - ",02 203 5000
5340,NATION HOSPITAL L.L.C (ABU DHABI),"HAZZA BIN ZAYED THE FIRST STREET - PLOT NUMBER (419 ) , PROPERTY ID NUMBER (PRP94470) - ",02 201 1111
5393,BAREEN INTERNATIONAL HOSPITAL(ABU DHABI),"Opposite Fatima Bent Mubarak Mosque, Mohammad Bin Zayed Area ,Zone 13 ,Abu Dhabi, UAE - ",02-5545555
6148,DANAT AL EMARAT HOSPITAL FOR WOMEN AND CHILDREN (ABU DHABI),"Mangrove Village, Abu Dhabi Gate City, Abu Dhabi, UAE - ",026149999
6449,REEM HOSPITAL (ABU DHABI),"Al Reem Island, Opposite Sorbonne, Abu Dhabi, UAE - ",
6478,BURJEEL MEDICAL CITY LLC (ABU DHABI),"28th Street MOHAMED BIN ZAYED CITY, ABU DHABI - ",027773333
6816,YAS CLINIC KHALIFA CITY - SOLE PROPRIETORSHIP LLC (ABU DHABI),"Khalifa City East, West 44,0 Hospital Building - ",024945555
7129,GLOBAL CARE HOSPITAL - SOLE PROPRIETORSHIP L.L.C. (ABU DHABI),"West 14-1, Building 419, Hazaa� Bin Zayed, 1st Street, P.O. Box 2239, Al Manhal Area - Abu Dhabi, United Arab Emirates",+971 2 418 5100
769,GULF DIAGNOSTIC HOSPITAL(ABU DHABI),"Al Khaleej Al Arabia Street, - ",9712 4177222
770,DAR ALSHIFAA HOSPITAL (ABU DHABI), - ,009712-6416542
781,MEDICLINIC AL NOOR HOSPITAL(ABU DHABI),Khalifa Street ( Abu-Dhabi ) - ,RECTIFICATION:Ms.Renjini-02-63139371
943,LIFELINE HOSPITAL(LLH)-ELECTRA(ABU DHABI),"NEAR NATIONAL BUILDING, ABU DHABI - ",9712 633 5522
1071,AL RAHA MEDICAL CENTER LLC (ABU DHABI),"Sultan Bin Zayed The 1st Street. 201, Marina Plaza Building, P.O Box: 44094 Abu Dhabi - ",00971 2 -6333924
1137,DR.OMAR AL ATRASH CLINIC(ABUDHABI),ABU DHABI - ,009712-6276644
1139,ZIA MEDICAL CENTRE (ABU DHABI),"SHABIA 12, ABU DHABI - ",009712-5522201
1143,CARE WELL MEDICAL CENTRE (ABU DHABI),ABUDHABI - ,009712-6728966
1145,AL ZAHRA MEDICAL CENTRE (ABU DHABI),ABU DHABI - ,009712- 6334073
1155,GULF INTERNATIONAL CANCER CENTER (ABU DHABI),ABU DHABI - ,009712-5635558
1294,ASTER PRIMARY CARE LLC (ABU DHABI),"Near First signal (Masjid), Sector-9, Sannayah, Musaffah, Abu Dhabi - ",+9712-5557078
1295,AL RAFA MEDICAL CENTRE LLC-MOOPENS(ABU DHABI),"United Square Building, Beside Khalidiya Mall, Khalidiya - Abu Dhabi - ",02-6266672
1364,AL RAWDAH GERMAN MEDICAL CENTER (ABU DHABI),"Beside Al Rawdah Family clinic, Al Karama Street, Al karma - ",+9712 - 6520020
1382,ALPHA MEDICAL CENTER ( ABU DHABI),"Ruby Saloon Bldg, Next to Seven Emirates Supermarket, Behind Sharjah bank, opp: mina hotel - ",+9712-6766668
1483,CARE WELL MEDICAL CTR-MUSSAFAH-ABU DHAB,"Old Baldia Building , M-37, Plot-173 mussafah Sanayia, Abu dhabi - ",009712-5510598
1500,AL DAR CENTER -YAS (ABU DHABI),YAS ISLAND - ,+9712-5563492
1531,PRIME CURE MEDICAL CENTER(ABU DHABI),"AL FALAH STREET, BESIDE WEARMART, ABU DHABI, UAE - ",02-6342424
1547,CARE WELL MODERN MEDICAL CENTRE(ABUDHAB),"Above Family Pharmacy Near shoe mart,Madinat zayed - ",009712 - 6317117
1555,MEDICLINIC HOSPITALS MADINAT ZAYED SPECIALITY(ABUDHABI),"Madinat Zayed - Madinat Zayed City, Western Region",+9712-8848883
1620,ULTRACARE MEDICAL CENTRE (ABU - DHABI),ABU - DHABI - ,009712 - 4434700 /  4481111
2035,PESHAWAR MEDICAL CENTRE (ABUDHABI),In Front Of ICAD City ME #40 Sanaya Mussaffah Abu Dhabi - ,009712 - 5508987
2250,MEDICLINIC HOSPITALS AL MUSAFAH SPECIALITY(ABUDHABI),SHABIYA MUSSAFAH BIG MOSQUE BILAL MUSTAFA AL KHALED - ,009712 -406 6874
2254,AMERICAN CENTER FOR PSYCHIATRY & NEUROLOGY LLC(ABUDHABI),"Al Falah Street, Khalidiya - ",009712 - 6664866
2299,NEW AL MAZROUI POLYCLINIC (ABU DHABI),"Musaffah, Abu Dhabi. - ",009712 - 5528550
2355,ADAM AND EVE SPECIALIZED MEDICAL CENTRE (ABU DHABI),"Electra Street, Pink Building, M Floor, O1 - ",02 6767 366
2483,CENTRAL CLINIC (ABU DHABI),"Flat #13, B Block, Al Hallami Center, Same Bldg of Bank of Baroda, Hamdan Street, - ",009712 - 6323497
2484,APOLLO MEDICAL CENTRE LLC (ABUDHABI),"Flat #201, BHS Bldg, Near ADCB Bank & National Bank of Bahrain, Hamdan Street, - ",009712 - 6397733
2635,SEHA - AL DHAFRA FAMILY MEDICINE CENTER (ABU DHABI),Madinet Zayed District Western Region - ,009712 - 8741666
2640,SEHA - BEDA AL MUTAWA MEDICAL CENTER (ABU DHABI),"Ghayathi Area, Abu Dhabi - ",02-8070000
2641,SEHA - ABU AL ABYAD CLINIC (ABU DHABI),"Al Gharbia Hospitals Administration �old hospital building ,Mohamed Kalaf ALMazrouei Street,��� Madient Zayed - ",02-8070000
2750,MY HEALTH MEDICAL CENTRE LLC (ABU DHABI),"Baniyas East 3_2,0, Mr. Nasser Salem Hameed Al Dahak Building, Abu Dhabi, UAE - ",009712 - 6767873
2789,MEZYAD MEDICAL CENTRE (ABUDHABI),"Mezyad Mall, Gate 3 Mohammed Bin Zayed City, - ",009712 - 5519977
2791,WELL CARE MEDICAL CENTRE (ABUDHABI),"Block B - 02, Al Hamra Plaza , Electra Street, - ",009712 - 6766000
2792,DR. WALAA FAKHR MEDICAL CENTRE  (ABU DHABI),Al Najda Street - ADIB Bldg - 16th floor - 1601  Abu Dhabi Islamic Bank Bldg - ,009712 - 6336662
2856,OPEN MRI FOR  SPINE SUGERY (ABUDHABI),"Villa #1, Next to Khalifa Foundation Zone 2, Al Karamah Street (24), - ",009712 - 4496613
2857,AL KHAZNA MEDICAL  CENTRE  (ABUDHABI),"Al Iman Pharmacy Bldg, Mushrif Area, - ",009712 - 4461688
2858,AL WAHDA MEDICAL CENTRE  (ABU DHABI),"Opposite Al Wahda Mall,Hazza Bin Zayed Street,Defence Road - ",009712 - 6418383
2869,MEDICLINIC AL MAMORA LLC(ABU DHABI),Al Mamura /Muroor Road Al Saad Street. - ,009712 -6723400
